qty,txstatus,g.whoregion,<1,1-4,5-9,10-14,all
inc,tx,AFR,1 360 (1 180 to 1 540),1 880 (1 680 to 2 080),844 (726 to 962),267 (200 to 333),4 350 (4 040 to 4 650)
inc,tx,AMR,74 (61 to 86),102 (88 to 115),52 (44 to 60),16 (12 to 21),244 (223 to 264)
inc,tx,EMR,664 (448 to 881),919 (678 to 1 160),390 (272 to 507),123 (57 to 189),2 100 (1 740 to 2 450)
inc,tx,EUR,43 (36 to 50),59 (52 to 67),51 (41 to 60),16 (11 to 21),169 (154 to 184)
inc,tx,SEA,1 370 (974 to 1 760),1 890 (1 450 to 2 330),1 260 (861 to 1 660),399 (173 to 625),4 920 (4 170 to 5 670)
inc,tx,WPR,343 (238 to 449),475 (358 to 592),281 (216 to 346),89 (52 to 126),1 190 (1 010 to 1 360)
inc,tx,GLOBAL,3 850 (3 350 to 4 350),5 330 (4 770 to 5 880),2 880 (2 440 to 3 320),910 (663 to 1 160),13 000 (12 100 to 13 900)
inc,utx,AFR,2 450 (1 900 to 3 000),2 960 (2 390 to 3 530),900 (639 to 1 160),237 (99 to 375),6 550 (5 700 to 7 390)
inc,utx,AMR,73 (46 to 101),95 (65 to 125),23 (8 to 38),7.3 (0 to 16),198 (154 to 243)
inc,utx,EMR,468 (74 to 862),517 (101 to 932),126 (0 to 314),29 (0 to 132),1 140 (528 to 1 750)
inc,utx,EUR,50 (34 to 66),73 (55 to 92),1.6 (0 to 14),0 (0 to 6.2),124 (96 to 152)
inc,utx,SEA,828 (0 to 1 750),1 160 (129 to 2 190),0 (0 to 602),27 (0 to 386),2 010 (456 to 3 560)
inc,utx,WPR,396 (166 to 626),531 (279 to 782),76 (0 to 191),20 (0 to 83),1 020 (658 to 1 390)
inc,utx,GLOBAL,4 270 (3 100 to 5 430),5 330 (4 060 to 6 600),1 120 (420 to 1 820),320 (0 to 723),11 000 (9 130 to 12 900)
inc,tot,AFR,3 810 (3 290 to 4 330),4 840 (4 300 to 5 370),1 740 (1 510 to 1 980),504 (383 to 625),10 900 (10 100 to 11 700)
inc,tot,AMR,147 (122 to 171),197 (170 to 224),75 (63 to 88),24 (17 to 31),442 (403 to 482)
inc,tot,EMR,1 130 (803 to 1 460),1 440 (1 100 to 1 770),516 (368 to 663),152 (74 to 231),3 240 (2 730 to 3 740)
inc,tot,EUR,93 (78 to 107),133 (116 to 150),52 (44 to 60),16 (11 to 20),293 (269 to 317)
inc,tot,SEA,2 200 (1 360 to 3 030),3 050 (2 120 to 3 980),1 250 (796 to 1 710),426 (148 to 704),6 930 (5 570 to 8 280)
inc,tot,WPR,739 (535 to 944),1 010 (783 to 1 230),357 (262 to 452),109 (57 to 160),2 210 (1 890 to 2 530)
inc,tot,GLOBAL,8 120 (7 060 to 9 170),10 700 (9 510 to 11 800),4 000 (3 450 to 4 540),1 230 (913 to 1 550),24 000 (22 300 to 25 700)
morb,tx,AFR,599 (512 to 686),793 (692 to 893),358 (301 to 414),112 (83 to 141),1 860 (1 710 to 2 010)
morb,tx,AMR,32 (27 to 38),43 (36 to 50),22 (18 to 26),6.9 (4.9 to 8.9),104 (94 to 114)
morb,tx,EMR,293 (189 to 397),388 (268 to 508),165 (109 to 221),52 (23 to 81),897 (727 to 1 070)
morb,tx,EUR,19 (16 to 22),25 (21 to 29),21 (17 to 26),6.7 (4.4 to 9),72 (65 to 79)
morb,tx,SEA,603 (415 to 791),798 (581 to 1 020),535 (344 to 726),167 (68 to 266),2 100 (1 740 to 2 460)
morb,tx,WPR,151 (101 to 202),200 (142 to 259),119 (88 to 150),37 (21 to 53),508 (423 to 593)
morb,tx,GLOBAL,1 700 (1 460 to 1 940),2 250 (1 970 to 2 520),1 220 (1 010 to 1 430),381 (273 to 489),5 550 (5 110 to 5 980)
morb,utx,AFR,0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0)
morb,utx,AMR,0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0)
morb,utx,EMR,0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0)
morb,utx,EUR,0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0)
morb,utx,SEA,0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0)
morb,utx,WPR,0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0)
morb,utx,GLOBAL,0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0)
morb,tot,AFR,599 (512 to 686),793 (692 to 893),358 (301 to 414),112 (83 to 141),1 860 (1 710 to 2 010)
morb,tot,AMR,32 (27 to 38),43 (36 to 50),22 (18 to 26),6.9 (4.9 to 8.9),104 (94 to 114)
morb,tot,EMR,293 (189 to 397),388 (268 to 508),165 (109 to 221),52 (23 to 81),897 (727 to 1 070)
morb,tot,EUR,19 (16 to 22),25 (21 to 29),21 (17 to 26),6.7 (4.4 to 9),72 (65 to 79)
morb,tot,SEA,603 (415 to 791),798 (581 to 1 020),535 (344 to 726),167 (68 to 266),2 100 (1 740 to 2 460)
morb,tot,WPR,151 (101 to 202),200 (142 to 259),119 (88 to 150),37 (21 to 53),508 (423 to 593)
morb,tot,GLOBAL,1 700 (1 460 to 1 940),2 250 (1 970 to 2 520),1 220 (1 010 to 1 430),381 (273 to 489),5 550 (5 110 to 5 980)
mort,tx,AFR,483 (0 to 1 190),604 (0 to 1 330),236 (0 to 542),76 (0 to 236),1 400 (328 to 2 470)
mort,tx,AMR,26 (0 to 59),30 (0 to 65),18 (1.2 to 34),5.4 (0 to 15),79 (27 to 131)
mort,tx,EMR,255 (0 to 701),302 (0 to 759),144 (0 to 347),45 (0 to 153),746 (68 to 1 420)
mort,tx,EUR,15 (0 to 34),16 (0 to 38),25 (12 to 38),7.9 (0.91 to 15),64 (31 to 96)
mort,tx,SEA,787 (0 to 1 900),967 (0 to 2 200),454 (0 to 1 090),135 (0 to 509),2 340 (527 to 4 160)
mort,tx,WPR,135 (0 to 408),164 (0 to 460),116 (0 to 241),36 (0 to 104),451 (24 to 878)
mort,tx,GLOBAL,1 700 (280 to 3 120),2 080 (555 to 3 610),992 (248 to 1 740),305 (0 to 732),5 080 (2 820 to 7 340)
mort,utx,AFR,2 450 (1 900 to 3 000),2 960 (2 390 to 3 530),900 (639 to 1 160),237 (99 to 375),6 550 (5 700 to 7 390)
mort,utx,AMR,73 (46 to 101),95 (65 to 125),23 (8 to 38),7.3 (0 to 16),198 (154 to 243)
mort,utx,EMR,468 (74 to 862),517 (101 to 932),126 (0 to 314),29 (0 to 132),1 140 (528 to 1 750)
mort,utx,EUR,50 (34 to 66),73 (55 to 92),1.6 (0 to 14),0 (0 to 6.2),124 (96 to 152)
mort,utx,SEA,828 (0 to 1 750),1 160 (129 to 2 190),0 (0 to 602),27 (0 to 386),2 010 (456 to 3 560)
mort,utx,WPR,396 (166 to 626),531 (279 to 782),76 (0 to 191),20 (0 to 83),1 020 (658 to 1 390)
mort,utx,GLOBAL,4 270 (3 100 to 5 430),5 330 (4 060 to 6 600),1 120 (420 to 1 820),320 (0 to 723),11 000 (9 130 to 12 900)
mort,tot,AFR,2 930 (2 490 to 3 380),3 560 (3 120 to 4 000),1 140 (974 to 1 300),313 (232 to 394),7 940 (7 290 to 8 600)
mort,tot,AMR,99 (82 to 117),125 (107 to 143),41 (34 to 48),13 (8.7 to 17),278 (251 to 304)
mort,tot,EMR,723 (514 to 932),819 (629 to 1 010),270 (197 to 344),74 (40 to 109),1 890 (1 590 to 2 180)
mort,tot,EUR,64 (54 to 74),90 (78 to 101),26 (22 to 31),7.4 (5.5 to 9.3),188 (172 to 204)
mort,tot,SEA,1 620 (988 to 2 240),2 120 (1 450 to 2 800),446 (268 to 624),162 (53 to 271),4 350 (3 400 to 5 290)
mort,tot,WPR,531 (384 to 678),695 (540 to 850),192 (142 to 242),56 (31 to 81),1 470 (1 250 to 1 690)
mort,tot,GLOBAL,5 970 (5 160 to 6 780),7 410 (6 570 to 8 260),2 110 (1 850 to 2 370),625 (483 to 767),16 100 (14 900 to 17 300)
